,ds
0,1960-01-01
1,1961-01-01
2,1962-01-01
3,1963-01-01
4,1964-01-01
5,1965-01-01
6,1966-01-01
7,1967-01-01
8,1968-01-01
9,1969-01-01
10,1970-01-01
11,1971-01-01
12,1972-01-01
13,1973-01-01
14,1974-01-01
15,1975-01-01
16,1976-01-01
17,1977-01-01
18,1978-01-01
19,1979-01-01
20,1980-01-01
21,1981-01-01
22,1982-01-01
23,1983-01-01
24,1984-01-01
25,1985-01-01
26,1986-01-01
27,1987-01-01
28,1988-01-01
29,1989-01-01
30,1990-01-01
31,1991-01-01
32,1992-01-01
33,1993-01-01
34,1994-01-01
35,1995-01-01
36,1996-01-01
37,1997-01-01
38,1998-01-01
39,1999-01-01
40,2000-01-01
41,2001-01-01
42,2002-01-01
43,2003-01-01
44,2004-01-01
45,2005-01-01
46,2006-01-01
47,2007-01-01
48,2008-01-01
49,2009-01-01
50,2010-01-01
51,2011-01-01
52,2012-01-01
53,2013-01-01
54,2014-01-01
55,2015-01-01
56,2016-01-01
57,2017-01-01
58,2018-01-01
59,2019-01-01
60,2019-12-31
61,2020-12-31
62,2021-12-31
63,2022-12-31
64,2023-12-31
65,2024-12-31
66,2025-12-31
67,2026-12-31
68,2027-12-31
69,2028-12-31
